POPTOTAL,HOUSEHOLDCOUNT,RACEHISPANICORIGIN,RACEHISPANICRATIO,RACEWHITENONHISP,RACEWHITERATIO,RACEBLACKNONHISP,RACEBLACKRATIO,RACEASIANNONHISP,RACEASIANRATIO,RACEOTHER,RACEOTHERRATIO,RACEBIPOC,RACEBIPOCRATIO,INCMEDIANINCOME,INCMEDIANHISPANIC,INCMEDIANWHITE,INCMEDIANASIAN,INCMEDIANOTHER,LANGGROUPPOPULATION,LEPTOTAL,LEPRATIO,LEPSPANISH,LEPSPANISHRATIO,LEPINDOEUROPEAN,LEPINDOEUROPEANRATIO,LEPASIANPACIFICISLAND,LEPASIANPACIFICISLANDRATIO,LEPOTHER,LEPOTHERRATIO,EDUGROUPPOPULATION,EDULESSTHANHS,EDULESSTHANHSRATIO
3081,830,708,0.23,161,0.052,77,0.025,2039,0.662,96,0.031,2920,0.948,144000,90368,250000,163500,239974,2931,859,0.293,119,0.139,91,0.106,642,0.747,7,0.008,2182,380,0.174
4391,1138,1127,0.257,333,0.076,77,0.018,2764,0.629,90,0.02,4058,0.924,172955,141984,176786,174659,306871,4232,1353,0.32,308,0.228,53,0.039,992,0.733,0,0,3166,570,0.18
7903,2872,3941,0.499,1200,0.152,527,0.067,1787,0.226,448,0.057,6703,0.848,154868,99519,195357,174620,255000,7321,2026,0.277,1607,0.793,22,0.011,397,0.196,0,0,5532,994,0.18
4988,1242,1573,0.315,396,0.079,111,0.022,2683,0.538,225,0.045,4592,0.921,162500,117353,138083,178188,76544,4651,1749,0.376,642,0.367,123,0.07,984,0.563,0,0,3393,631,0.186
4125,998,1935,0.469,1081,0.262,41,0.01,1056,0.256,12,0.003,3044,0.738,151146,128257,193699,191731,79400,3965,914,0.231,556,0.608,0,0,306,0.335,52,0.057,3127,589,0.188
5901,1580,904,0.153,951,0.161,55,0.009,3806,0.645,185,0.031,4950,0.839,178333,114764,156429,191396,113480,5694,1561,0.274,197,0.126,82,0.053,1282,0.821,0,0,4099,769,0.188
4301,1103,584,0.136,247,0.057,35,0.008,3371,0.784,64,0.015,4054,0.943,159375,136500,250000,169250,138750,4089,1564,0.382,64,0.041,127,0.081,1373,0.878,0,0,3400,647,0.19
4191,1354,2795,0.667,985,0.235,0,0,266,0.063,145,0.035,3206,0.765,134250,123125,142381,168456,247095,3978,448,0.113,341,0.761,61,0.136,46,0.103,0,0,3047,582,0.191
7937,2040,3358,0.423,711,0.09,151,0.019,2916,0.367,801,0.101,7226,0.91,124659,150958,100000,120455,312824,7679,2111,0.275,1037,0.491,102,0.048,972,0.46,0,0,5398,1039,0.192
2662,713,528,0.198,101,0.038,2,0.001,2010,0.755,21,0.008,2561,0.962,108281,160368,72708,94107,162353,2539,1121,0.442,127,0.113,25,0.022,969,0.864,0,0,1995,390,0.195
4413,1517,1903,0.431,485,0.11,167,0.038,1468,0.333,390,0.088,3928,0.89,92656,73667,137750,119688,204613,4226,1144,0.271,706,0.617,13,0.011,425,0.372,0,0,3121,609,0.195
6469,2406,1823,0.282,1834,0.284,506,0.078,2226,0.344,80,0.012,4635,0.716,103972,104900,114107,77273,157069,6094,1375,0.226,283,0.206,80,0.058,983,0.715,29,0.021,4698,963,0.205
6127,1445,3135,0.512,480,0.078,299,0.049,2184,0.356,29,0.005,5647,0.922,134594,137746,146250,126964,400896,5784,1599,0.276,578,0.361,16,0.01,1005,0.629,0,0,3902,839,0.215
4124,1187,963,0.234,511,0.124,114,0.028,2397,0.581,139,0.034,3613,0.876,143173,92981,150278,156429,73603,3996,1458,0.365,272,0.187,70,0.048,1116,0.765,0,0,3252,704,0.216
4176,991,612,0.147,201,0.048,108,0.026,3084,0.739,171,0.041,3975,0.952,116375,135893,172750,108142,359766,3985,1887,0.474,168,0.089,0,0,1719,0.911,0,0,3137,687,0.219
5264,1353,2954,0.561,103,0.02,135,0.026,1984,0.377,88,0.017,5161,0.98,100375,78375,77000,109342,270020,5040,2162,0.429,1037,0.48,118,0.055,1007,0.466,0,0,3681,811,0.22
5308,1810,3038,0.572,1365,0.257,163,0.031,550,0.104,192,0.036,3943,0.743,106813,86699,156641,230000,213333,5038,1325,0.263,1052,0.794,10,0.008,209,0.158,54,0.041,3433,785,0.229
6217,1854,1659,0.267,1211,0.195,131,0.021,2936,0.472,280,0.045,5006,0.805,89831,96343,81734,85577,128935,5775,2005,0.347,316,0.158,134,0.067,1555,0.776,0,0,4435,1030,0.232
3083,841,1195,0.388,420,0.136,11,0.004,1433,0.465,24,0.008,2663,0.864,119548,88807,118697,145950,210707,3004,983,0.327,309,0.314,75,0.076,586,0.596,13,0.013,2229,531,0.238
3777,1642,1961,0.519,718,0.19,204,0.054,591,0.156,303,0.08,3059,0.81,57772,61322,44850,68487,120762,3729,795,0.213,499,0.628,0,0,251,0.316,45,0.057,2691,643,0.239
4159,1323,2248,0.541,316,0.076,197,0.047,1194,0.287,204,0.049,3843,0.924,75179,64526,230063,76217,105260,3740,1745,0.467,1054,0.604,70,0.04,577,0.331,44,0.025,2747,681,0.248
5372,1711,1587,0.295,703,0.131,134,0.025,2688,0.5,260,0.048,4669,0.869,102483,67902,155156,113750,86818,5216,1798,0.345,630,0.35,157,0.087,992,0.552,19,0.011,3863,958,0.248
4635,1141,1533,0.331,446,0.096,96,0.021,2508,0.541,52,0.011,4189,0.904,108973,175375,129229,104435,337778,4552,1582,0.348,476,0.301,96,0.061,1010,0.638,0,0,3243,809,0.249
6178,2199,1655,0.268,276,0.045,230,0.037,3790,0.613,227,0.037,5902,0.955,59926,63988,195333,54821,318224,5870,2769,0.472,644,0.233,62,0.022,2048,0.74,15,0.005,4465,1118,0.25
8473,2154,2807,0.331,517,0.061,90,0.011,4955,0.585,104,0.012,7956,0.939,150192,164250,132917,152404,71350,7956,2741,0.345,643,0.235,128,0.047,1946,0.71,24,0.009,5700,1448,0.254
4466,1393,3214,0.72,573,0.128,68,0.015,259,0.058,352,0.079,3893,0.872,86995,69259,133095,127727,216053,4057,1081,0.266,779,0.721,15,0.014,141,0.13,146,0.135,2986,764,0.256
