POPTOTAL,HOUSEHOLDCOUNT,RACEHISPANICORIGIN,RACEHISPANICRATIO,RACEWHITENONHISP,RACEWHITERATIO,RACEBLACKNONHISP,RACEBLACKRATIO,RACEASIANNONHISP,RACEASIANRATIO,RACEOTHER,RACEOTHERRATIO,RACEBIPOC,RACEBIPOCRATIO,INCMEDIANINCOME,INCMEDIANHISPANIC,INCMEDIANWHITE,INCMEDIANASIAN,INCMEDIANOTHER,LANGGROUPPOPULATION,LEPTOTAL,LEPRATIO,LEPSPANISH,LEPSPANISHRATIO,LEPINDOEUROPEAN,LEPINDOEUROPEANRATIO,LEPASIANPACIFICISLAND,LEPASIANPACIFICISLANDRATIO,LEPOTHER,LEPOTHERRATIO,EDUGROUPPOPULATION,EDULESSTHANHS,EDULESSTHANHSRATIO
2954,978,1896,0.642,358,0.121,168,0.057,424,0.144,108,0.037,2596,0.879,74167,77664,96944,21528,154699,2713,866,0.319,531,0.613,21,0.024,314,0.363,0,0,2052,532,0.259
2705,851,1646,0.609,781,0.289,43,0.016,177,0.065,58,0.021,1924,0.711,105771,83859,135059,62083,198250,2649,991,0.374,675,0.681,248,0.25,68,0.069,0,0,2066,541,0.262
4435,990,2092,0.472,230,0.052,160,0.036,1862,0.42,91,0.021,4205,0.948,113113,104609,125982,150179,103672,4268,1817,0.426,757,0.417,0,0,1046,0.576,14,0.008,3020,793,0.263
3532,873,866,0.245,518,0.147,236,0.067,1876,0.531,36,0.01,3014,0.853,108393,84736,250000,107619,293885,3362,945,0.281,134,0.142,0,0,811,0.858,0,0,2433,646,0.266
4160,1164,1201,0.289,514,0.124,140,0.034,2151,0.517,154,0.037,3646,0.876,96500,80185,120982,155382,92668,3961,1656,0.418,597,0.361,22,0.013,1037,0.626,0,0,3266,921,0.282
7213,1899,1989,0.276,550,0.076,150,0.021,4307,0.597,217,0.03,6663,0.924,112367,152596,56103,105583,153141,6992,2532,0.362,492,0.194,6,0.002,2034,0.803,0,0,4565,1292,0.283
1920,541,1236,0.644,244,0.127,27,0.014,344,0.179,69,0.036,1676,0.873,107438,86417,190972,230833,193821,1796,461,0.257,383,0.831,15,0.033,63,0.137,0,0,1331,391,0.294
4340,1317,2164,0.499,330,0.076,40,0.009,1725,0.397,81,0.019,4010,0.924,70285,83170,156154,49643,86750,4174,1706,0.409,741,0.434,44,0.026,921,0.54,0,0,2954,881,0.298
4780,978,2975,0.622,127,0.027,71,0.015,1544,0.323,63,0.013,4653,0.973,96650,84338,171250,151719,217469,4300,1551,0.361,840,0.542,10,0.006,701,0.452,0,0,2666,797,0.299
4565,1151,3115,0.682,438,0.096,7,0.002,843,0.185,162,0.035,4127,0.904,101607,98060,192872,99779,187799,4412,1415,0.321,966,0.683,37,0.026,412,0.291,0,0,2880,882,0.306
5919,1648,3543,0.599,567,0.096,139,0.023,1625,0.275,45,0.008,5352,0.904,63033,87727,44063,48750,146628,5596,2106,0.376,1173,0.557,51,0.024,863,0.41,19,0.009,3840,1174,0.306
5243,1132,2777,0.53,210,0.04,156,0.03,1996,0.381,104,0.02,5033,0.96,118864,117938,135962,125610,263625,4967,2345,0.472,1135,0.484,53,0.023,1157,0.493,0,0,3746,1163,0.31
4062,1435,2300,0.566,446,0.11,347,0.085,900,0.222,69,0.017,3616,0.89,72064,72462,65179,88750,169557,3691,1261,0.342,686,0.544,36,0.029,506,0.401,33,0.026,2610,828,0.317
2139,739,748,0.35,98,0.046,0,0,1284,0.6,9,0.004,2041,0.954,58162,84896,95197,46875,179107,2071,1012,0.489,246,0.243,0,0,766,0.757,0,0,1614,530,0.328
5854,1405,2375,0.406,134,0.023,81,0.014,3126,0.534,138,0.024,5720,0.977,86629,87738,83833,78438,98750,5510,2252,0.409,750,0.333,14,0.006,1488,0.661,0,0,3744,1231,0.329
2823,692,1468,0.52,78,0.028,12,0.004,1214,0.43,51,0.018,2745,0.972,89583,88636,176607,87692,233326,2678,1423,0.531,657,0.462,8,0.006,758,0.533,0,0,1798,595,0.331
6393,1537,4274,0.669,630,0.099,0,0,1393,0.218,96,0.015,5763,0.901,94883,102500,59688,161417,209350,5896,2368,0.402,1510,0.638,51,0.022,807,0.341,0,0,4016,1332,0.332
3582,885,2025,0.565,673,0.188,107,0.03,738,0.206,39,0.011,2909,0.812,90750,81950,69375,155875,184578,3410,1198,0.351,687,0.573,357,0.298,154,0.129,0,0,2232,754,0.338
4490,1069,3005,0.669,539,0.12,0,0,758,0.169,188,0.042,3951,0.88,107250,127857,105208,110179,103884,4271,1439,0.337,1106,0.769,23,0.016,310,0.215,0,0,3323,1123,0.338
6804,1758,2486,0.365,420,0.062,79,0.012,3673,0.54,146,0.021,6384,0.938,94539,75769,73333,97105,169737,6576,2891,0.44,846,0.293,204,0.071,1828,0.632,13,0.004,4905,1856,0.378
3331,1085,1893,0.568,123,0.037,106,0.032,1103,0.331,106,0.032,3208,0.963,64753,66111,140550,27083,142172,3134,1435,0.458,720,0.502,89,0.062,626,0.436,0,0,2096,828,0.395
4519,1083,3403,0.753,180,0.04,110,0.024,783,0.173,43,0.01,4339,0.96,66958,71858,103015,42250,102404,4372,1876,0.429,1353,0.721,0,0,502,0.268,21,0.011,2757,1136,0.412
4613,550,1509,0.327,854,0.185,344,0.075,1521,0.33,385,0.083,3759,0.815,41250,46518,45272,28438,46875,4575,656,0.143,334,0.509,57,0.087,260,0.396,5,0.008,800,357,0.446
5269,1560,771,0.146,648,0.123,91,0.017,3337,0.633,422,0.08,4621,0.877,151302,173636,158919,150677,203393,5131,1521,0.296,106,0.07,115,0.076,1300,0.855,0,0,3878,330,0.085
4171,1305,1486,0.356,1536,0.368,213,0.051,742,0.178,194,0.047,2635,0.632,147681,110227,116719,238993,296063,3886,288,0.074,216,0.75,13,0.045,55,0.191,4,0.014,2790,300,0.108
4905,1699,1356,0.276,2412,0.492,96,0.02,497,0.101,544,0.111,2493,0.508,235674,241500,211587,250000,250000,4656,224,0.048,147,0.656,7,0.031,70,0.313,0,0,3639,121,0.033
